epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,1006.6,1.24981,2.70942,0.42532,1.09792,0.01663,10.3626,0.89385,0.80737,0.90401,0.68777,0.81566,0.72683,0.7676,0.70433,0.94916,1.85595,0.05098,0.83033,0.01836,0,0.00333288,0.00333288,0.0700041
2,2287.59,1.11423,2.00125,0.37815,0.90832,0.01466,8.0721,0.94782,0.88047,0.95249,0.8045,0.90266,0.82626,0.86916,0.83262,0.69996,1.13475,0.04432,0.44974,0.01314,0,0.00660022,0.00660022,0.0399381
3,3252.8,1.02693,1.76504,0.36798,0.81781,0.01338,6.94708,0.95913,0.898,0.96299,0.83518,0.91669,0.8539,0.8938,0.86085,0.62765,0.98158,0.04151,0.3876,0.0117,0,0.00980156,0.00980156,0.00980607
4,5003.66,0.96361,1.58835,0.36081,0.75554,0.01248,6.08102,0.95815,0.90966,0.96702,0.85221,0.92615,0.86683,0.90731,0.87982,0.58513,0.86852,0.03808,0.35641,0.01083,0,0.009703,0.009703,0.009703
5,6528.45,0.9253,1.48468,0.35352,0.71345,0.01192,5.52497,0.96415,0.91327,0.97028,0.86251,0.93083,0.87376,0.91545,0.88928,0.56264,0.82833,0.03853,0.33176,0.0104,0,0.009604,0.009604,0.009604
6,7156.88,0.8935,1.40059,0.34697,0.68175,0.01149,5.0744,0.9659,0.91587,0.97154,0.86855,0.93497,0.8768,0.92067,0.89532,0.54648,0.79553,0.04044,0.31912,0.01009,0,0.009505,0.009505,0.009505
7,7784.72,0.87442,1.35001,0.33886,0.65933,0.01121,4.74542,0.96888,0.91343,0.97135,0.87225,0.93641,0.87972,0.92259,0.89776,0.5367,0.77489,0.0402,0.32002,0.0099,0,0.009406,0.009406,0.009406
8,8409.32,0.84985,1.28204,0.33171,0.63549,0.01086,4.32117,0.96797,0.91159,0.97022,0.87299,0.93776,0.87878,0.92308,0.89856,0.53285,0.75625,0.04043,0.32874,0.00982,0,0.009307,0.009307,0.009307
9,9035.13,0.83991,1.26885,0.32833,0.62894,0.01073,4.25186,0.96284,0.90798,0.96595,0.87017,0.93511,0.87441,0.92117,0.8966,0.53502,0.75221,0.04072,0.348,0.00986,0,0.009208,0.009208,0.009208
10,9660.04,0.81779,1.20845,0.32208,0.60908,0.01045,3.9068,0.95905,0.89745,0.96151,0.86568,0.93511,0.86498,0.91568,0.89205,0.54038,0.75233,0.04059,0.38774,0.00999,0,0.009109,0.009109,0.009109
11,10284.1,0.81208,1.19213,0.31966,0.60087,0.01036,3.79605,0.94857,0.88609,0.95203,0.8577,0.92588,0.85463,0.90894,0.88468,0.54759,0.75941,0.04057,0.45076,0.01013,0,0.00901,0.00901,0.00901
12,10908.8,0.79914,1.16466,0.31625,0.58919,0.01018,3.58252,0.94325,0.86988,0.94448,0.84693,0.91964,0.84047,0.89796,0.87471,0.55827,0.77469,0.04141,0.54139,0.01035,0,0.008911,0.008911,0.008911
13,11532.6,0.78933,1.14097,0.3121,0.58186,0.01003,3.38609,0.94037,0.85367,0.93063,0.83481,0.91734,0.8263,0.88799,0.86542,0.5711,0.77909,0.04351,0.62672,0.01059,0,0.008812,0.008812,0.008812
14,12155.9,0.7812,1.1211,0.30955,0.57487,0.00992,3.22769,0.94107,0.84231,0.9278,0.82815,0.91857,0.81702,0.88178,0.86122,0.57753,0.7748,0.04562,0.68545,0.01071,0,0.008713,0.008713,0.008713
15,12779.8,0.77332,1.1008,0.30727,0.56708,0.0098,3.07865,0.94315,0.84111,0.92795,0.82667,0.9211,0.81654,0.88256,0.86357,0.58468,0.77003,0.04578,0.69857,0.01082,0,0.008614,0.008614,0.008614
16,13404.5,0.7633,1.07428,0.30324,0.55874,0.0097,2.92123,0.94342,0.84504,0.92994,0.8267,0.92058,0.82096,0.88495,0.86644,0.58839,0.74844,0.04483,0.68929,0.01087,0,0.008515,0.008515,0.008515
17,14028.6,0.76118,1.08637,0.30239,0.55707,0.00965,2.87167,0.94113,0.85423,0.92749,0.826,0.91898,0.83067,0.88866,0.87029,0.59185,0.72957,0.04361,0.69094,0.01094,0,0.008416,0.008416,0.008416
18,14653.1,0.75587,1.06086,0.29997,0.55605,0.00958,2.73946,0.942,0.86585,0.93682,0.83557,0.92155,0.84166,0.89875,0.87895,0.57771,0.71032,0.04156,0.64109,0.01064,0,0.008317,0.008317,0.008317
19,15277.5,0.74409,1.03515,0.29597,0.5432,0.00941,2.58497,0.94326,0.87956,0.94633,0.84767,0.92313,0.85477,0.90864,0.88769,0.55976,0.69132,0.03887,0.56641,0.01027,0,0.008218,0.008218,0.008218
20,16484.6,0.69765,0.87709,0.29323,0.52268,0.0088,2.16313,0.94274,0.87988,0.94634,0.84787,0.92307,0.85478,0.90856,0.88772,0.55897,0.69091,0.03896,0.56648,0.01026,0,0.008119,0.008119,0.008119
21,17111.8,0.75683,1.06382,0.30406,0.5521,0.00959,2.85798,0.95044,0.90444,0.9598,0.87008,0.9314,0.87789,0.92305,0.90415,0.52411,0.64626,0.03686,0.42131,0.00958,0,0.00802,0.00802,0.00802
22,18341.4,0.69149,0.86965,0.29273,0.51835,0.00873,2.03163,0.95131,0.90296,0.95969,0.87018,0.9316,0.87703,0.92293,0.90403,0.52508,0.64784,0.0368,0.42307,0.0096,0,0.007921,0.007921,0.007921
23,18969.9,0.75108,1.04602,0.3024,0.54869,0.00952,2.76026,0.96042,0.91394,0.96858,0.88324,0.94263,0.88627,0.93249,0.913,0.49958,0.61977,0.03507,0.35134,0.00912,0,0.007822,0.007822,0.007822
24,19598.7,0.74797,1.03994,0.30123,0.54542,0.00948,2.67504,0.96801,0.92035,0.97185,0.89213,0.95011,0.894,0.93689,0.91962,0.47869,0.59399,0.03366,0.31033,0.00872,0,0.007723,0.007723,0.007723
25,20226.4,0.7458,1.03995,0.29909,0.54389,0.00944,2.64655,0.96974,0.92499,0.97365,0.89746,0.95062,0.90044,0.93902,0.92279,0.46581,0.57528,0.03267,0.28819,0.00847,0,0.007624,0.007624,0.007624
26,20855.1,0.7383,1.02386,0.29661,0.53826,0.00936,2.50688,0.97043,0.92815,0.97762,0.90036,0.95277,0.90338,0.94313,0.92561,0.45598,0.56189,0.03187,0.27726,0.0083,0,0.007525,0.007525,0.007525
27,21488.2,0.73179,1.01417,0.29325,0.53622,0.00923,2.44413,0.9638,0.89152,0.96186,0.88719,0.94895,0.86945,0.9275,0.9116,0.44903,0.56303,0.0307,0.49945,0.00816,0,0.007426,0.007426,0.007426
28,22658.2,0.67094,0.83751,0.2868,0.49921,0.00849,1.5464,0.96366,0.89156,0.96174,0.88714,0.949,0.86963,0.92752,0.91152,0.449,0.56361,0.03077,0.50139,0.00816,0,0.007327,0.007327,0.007327
29,23287.7,0.73371,1.0091,0.298,0.53533,0.0093,2.52557,0.97539,0.92238,0.97449,0.89973,0.95961,0.89801,0.94132,0.9252,0.44353,0.55155,0.03016,0.29766,0.00806,0,0.007228,0.007228,0.007228
30,23916.7,0.73242,1.00908,0.29575,0.53312,0.00929,2.45463,0.97157,0.93387,0.97863,0.90498,0.9565,0.90703,0.94483,0.92941,0.43758,0.54156,0.02931,0.26149,0.00795,0,0.007129,0.007129,0.007129
31,25065,0.66659,0.83884,0.28484,0.49638,0.00843,1.47195,0.9735,0.93264,0.9786,0.90495,0.95704,0.90675,0.9448,0.92942,0.4378,0.54151,0.02935,0.2615,0.00796,0,0.00703,0.00703,0.00703
32,25693.4,0.7238,0.98158,0.29511,0.52751,0.00917,2.31055,0.97456,0.93357,0.97984,0.90654,0.95591,0.91029,0.94696,0.93145,0.4347,0.53862,0.02913,0.25309,0.0079,0,0.006931,0.006931,0.006931
33,26908.3,0.66334,0.83569,0.28368,0.49482,0.00837,1.4173,0.97212,0.93497,0.97984,0.90652,0.95334,0.9123,0.94687,0.93122,0.43536,0.53917,0.02905,0.25309,0.00791,0,0.006832,0.006832,0.006832
34,27535.1,0.72344,0.98111,0.29462,0.52473,0.00913,2.3195,0.97353,0.93465,0.98008,0.90752,0.95678,0.91121,0.94804,0.93228,0.43154,0.53111,0.02868,0.24886,0.00785,0,0.006733,0.006733,0.006733
35,28743.8,0.6611,0.82476,0.28336,0.49255,0.00837,1.36422,0.97287,0.9352,0.97999,0.9075,0.95581,0.9118,0.94805,0.93225,0.43111,0.53076,0.02891,0.24883,0.00784,0,0.006634,0.006634,0.006634
